Humedad: 38.33%, pH: 7.33, Temperatura: 29.44ï¿½C, Nutrientes - N: 162.2, P: 22.9, K: 66.6
Humedad: 70.08%, pH: 7.26, Temperatura: 31.11ï¿½C, Nutrientes - N: 143.4, P: 88.9, K: 36.9
Humedad: 47.9%, pH: 7.01, Temperatura: 19.79ï¿½C, Nutrientes - N: 158.3, P: 21.7, K: 51.4
Humedad: 71.18%, pH: 7.18, Temperatura: 22.82ï¿½C, Nutrientes - N: 31.8, P: 88.6, K: 182.5
Humedad: 31.12%, pH: 6.87, Temperatura: 34.89ï¿½C, Nutrientes - N: 60.0, P: 135.5, K: 128.6
Humedad: 51.47%, pH: 7.32, Temperatura: 26.88ï¿½C, Nutrientes - N: 55.6, P: 72.2, K: 99.9
Humedad: 48.89%, pH: 6.56, Temperatura: 31.19ï¿½C, Nutrientes - N: 146.8, P: 99.4, K: 23.1
Humedad: 48.81%, pH: 5.54, Temperatura: 17.0ï¿½C, Nutrientes - N: 195.3, P: 198.3, K: 113.7
Humedad: 30.95%, pH: 6.38, Temperatura: 16.97ï¿½C, Nutrientes - N: 45.0, P: 141.3, K: 81.5
Humedad: 37.91%, pH: 7.32, Temperatura: 25.26ï¿½C, Nutrientes - N: 169.0, P: 14.1, K: 164.6
Humedad: 63.93%, pH: 5.65, Temperatura: 31.21ï¿½C, Nutrientes - N: 78.7, P: 153.2, K: 163.5
Humedad: 74.47%, pH: 6.44, Temperatura: 29.21ï¿½C, Nutrientes - N: 115.8, P: 190.5, K: 117.3
Humedad: 73.59%, pH: 6.0, Temperatura: 26.65ï¿½C, Nutrientes - N: 31.8, P: 187.2, K: 51.9
Humedad: 78.37%, pH: 6.05, Temperatura: 29.75ï¿½C, Nutrientes - N: 143.0, P: 85.9, K: 154.9
Humedad: 53.46%, pH: 7.34, Temperatura: 30.69ï¿½C, Nutrientes - N: 89.5, P: 25.6, K: 73.9
Humedad: 54.11%, pH: 6.87, Temperatura: 23.77ï¿½C, Nutrientes - N: 180.8, P: 176.3, K: 82.8
Humedad: 66.8%, pH: 6.98, Temperatura: 17.77ï¿½C, Nutrientes - N: 51.3, P: 148.5, K: 108.7
Humedad: 69.28%, pH: 6.0, Temperatura: 17.15ï¿½C, Nutrientes - N: 153.2, P: 177.1, K: 109.5
Humedad: 37.81%, pH: 6.65, Temperatura: 31.5ï¿½C, Nutrientes - N: 174.9, P: 45.9, K: 80.7
Humedad: 58.39%, pH: 6.0, Temperatura: 34.88ï¿½C, Nutrientes - N: 21.4, P: 133.0, K: 142.0
Humedad: 66.55%, pH: 6.86, Temperatura: 24.5ï¿½C, Nutrientes - N: 182.3, P: 28.8, K: 104.9
Humedad: 48.47%, pH: 6.84, Temperatura: 17.55ï¿½C, Nutrientes - N: 33.3, P: 16.9, K: 78.2
Humedad: 46.68%, pH: 7.0, Temperatura: 17.14ï¿½C, Nutrientes - N: 72.1, P: 12.6, K: 121.2
Humedad: 71.53%, pH: 5.85, Temperatura: 26.49ï¿½C, Nutrientes - N: 136.2, P: 25.8, K: 141.5
Humedad: 58.23%, pH: 6.49, Temperatura: 17.54ï¿½C, Nutrientes - N: 67.7, P: 184.0, K: 42.8
Humedad: 57.84%, pH: 7.35, Temperatura: 22.47ï¿½C, Nutrientes - N: 167.7, P: 75.7, K: 26.8
Humedad: 65.03%, pH: 6.52, Temperatura: 28.68ï¿½C, Nutrientes - N: 89.0, P: 73.8, K: 170.1
Humedad: 67.08%, pH: 6.45, Temperatura: 24.98ï¿½C, Nutrientes - N: 77.4, P: 95.4, K: 104.3
Humedad: 40.68%, pH: 6.99, Temperatura: 31.88ï¿½C, Nutrientes - N: 136.8, P: 94.6, K: 157.3
Humedad: 69.89%, pH: 5.86, Temperatura: 26.99ï¿½C, Nutrientes - N: 186.0, P: 138.5, K: 172.0
Humedad: 72.58%, pH: 7.22, Temperatura: 16.94ï¿½C, Nutrientes - N: 48.8, P: 174.0, K: 186.1
Humedad: 79.02%, pH: 5.69, Temperatura: 21.66ï¿½C, Nutrientes - N: 62.2, P: 30.4, K: 86.1
Humedad: 68.89%, pH: 6.94, Temperatura: 26.24ï¿½C, Nutrientes - N: 150.9, P: 174.6, K: 19.8
Humedad: 50.9%, pH: 7.09, Temperatura: 27.98ï¿½C, Nutrientes - N: 138.0, P: 19.1, K: 12.7
Humedad: 45.54%, pH: 5.95, Temperatura: 32.81ï¿½C, Nutrientes - N: 47.2, P: 55.1, K: 25.4
Humedad: 76.66%, pH: 6.35, Temperatura: 16.6ï¿½C, Nutrientes - N: 188.0, P: 164.7, K: 173.1
Humedad: 72.75%, pH: 6.47, Temperatura: 29.45ï¿½C, Nutrientes - N: 42.8, P: 54.4, K: 165.9
Humedad: 50.78%, pH: 7.03, Temperatura: 29.01ï¿½C, Nutrientes - N: 42.8, P: 52.0, K: 173.1
Humedad: 74.68%, pH: 6.11, Temperatura: 15.26ï¿½C, Nutrientes - N: 133.4, P: 156.0, K: 89.7
Humedad: 42.64%, pH: 6.63, Temperatura: 33.11ï¿½C, Nutrientes - N: 13.4, P: 137.2, K: 138.1
Humedad: 58.49%, pH: 6.67, Temperatura: 30.07ï¿½C, Nutrientes - N: 22.1, P: 20.5, K: 172.1
Humedad: 62.89%, pH: 6.27, Temperatura: 17.09ï¿½C, Nutrientes - N: 84.2, P: 89.6, K: 138.8
Humedad: 71.49%, pH: 6.23, Temperatura: 28.14ï¿½C, Nutrientes - N: 33.6, P: 72.3, K: 65.4
Humedad: 60.94%, pH: 7.18, Temperatura: 24.95ï¿½C, Nutrientes - N: 178.1, P: 170.1, K: 142.4
Humedad: 38.14%, pH: 5.59, Temperatura: 24.65ï¿½C, Nutrientes - N: 103.9, P: 183.2, K: 59.7
Humedad: 45.72%, pH: 6.71, Temperatura: 25.76ï¿½C, Nutrientes - N: 199.9, P: 78.0, K: 97.5
Humedad: 67.46%, pH: 6.1, Temperatura: 31.44ï¿½C, Nutrientes - N: 184.6, P: 140.2, K: 121.6
Humedad: 59.26%, pH: 7.49, Temperatura: 33.58ï¿½C, Nutrientes - N: 128.7, P: 171.8, K: 76.1
Humedad: 56.8%, pH: 6.48, Temperatura: 30.55ï¿½C, Nutrientes - N: 181.3, P: 169.4, K: 72.7
Humedad: 62.27%, pH: 6.92, Temperatura: 24.52ï¿½C, Nutrientes - N: 159.7, P: 103.6, K: 135.9
Humedad: 59.11%, pH: 6.14, Temperatura: 29.1ï¿½C, Nutrientes - N: 35.3, P: 181.1, K: 46.4
Humedad: 39.08%, pH: 5.67, Temperatura: 17.77ï¿½C, Nutrientes - N: 57.1, P: 53.4, K: 132.9
Humedad: 43.39%, pH: 7.39, Temperatura: 20.37ï¿½C, Nutrientes - N: 156.6, P: 123.3, K: 10.8
Humedad: 72.1%, pH: 6.49, Temperatura: 29.56°C, Nutrientes - N: 131.7, P: 13.9, K: 142.9
Humedad: 43.42%, pH: 10.64, Temperatura: 20.62°C, Nutrientes - N: 122.0, P: 42.6, K: 26.3
Humedad: 45.48%, pH: 11.17, Temperatura: 31.88°C, Nutrientes - N: 43.0, P: 27.0, K: 91.2
Humedad: 70.52%, pH: 6.89, Temperatura: 20.52°C, Nutrientes - N: 66.3, P: 40.5, K: 43.4
Humedad: 78.58%, pH: 8.04, Temperatura: 22.56°C, Nutrientes - N: 68.2, P: 42.0, K: 111.7
Humedad: 47.96%, pH: 12.4, Temperatura: 28.14°C, Nutrientes - N: 138.7, P: 60.9, K: 84.2
Humedad: 52.06%, pH: 8.49, Temperatura: 26.57°C, Nutrientes - N: 34.6, P: 63.9, K: 27.0
